tolerance_m,study_covered_km,study_coverage_pct,osm_covered_km,osm_coverage_pct,study_nodes_near_osm,study_node_coverage_pct
5,369.59970825342407,98.36781838245919,398.15083923232817,12.843229779647375,56,94.91525423728814
10,374.3506619194065,99.63226999571206,490.78210745354636,15.831254782530895,57,96.61016949152543
20,374.8147524935975,99.75578626559972,536.3365071296192,17.300711995384596,59,100.0
30,375.06170841604114,99.8215128199907,576.0251429592432,18.58095611237155,59,100.0
50,375.289922346942,99.88225125134198,655.0638823747977,21.130524245305462,59,100.0
